,cn2,esco,perco,awc,surlag,alpha,NSE
11,6.162100265806277,0.284307030380775,-15.53542354132228,12.074794890203696,3.433974154680337,-14.121124994916425,-3.4669611026572467
11,6.162100265806277,0.284307030380775,-15.53542354132228,12.074794890203696,3.433974154680337,-14.262336244865589,-3.4669611026572467
10,6.162100265806277,0.284307030380775,-15.53542354132228,11.955242465548212,3.399974410574591,-14.121124994916425,-3.4671654476754385
10,6.162100265806277,0.284307030380775,-15.381607466655725,11.955242465548212,3.399974410574591,-14.121124994916425,-3.4672854602199417
10,6.162100265806277,0.281492109287896,-15.381607466655725,11.955242465548212,3.399974410574591,-14.121124994916425,-3.4672854602199417
10,6.101089372085423,0.281492109287896,-15.381607466655725,11.955242465548212,3.399974410574591,-14.121124994916425,-3.4798819623299657
3,-22.460884059666792,-0.1441431961271407,-10.745104012017537,9.176774872313397,5.20380816355257,-2.487099610802913,-3.6450918909593817
3,-22.460884059666792,-0.1441431961271407,-10.745104012017537,9.176774872313397,5.1522853104480895,-2.462474862181102,-3.6450918909593817
3,-22.460884059666792,-0.1441431961271407,-10.745104012017537,9.176774872313397,5.20380816355257,-2.462474862181102,-3.6450918909593817
3,-22.460884059666792,-0.1441431961271407,-10.745104012017537,9.08591571516178,5.1522853104480895,-2.462474862181102,-3.6450943113660577
2,-22.460884059666792,-0.1441431961271407,-10.638716843581715,9.08591571516178,5.1522853104480895,-2.462474862181102,-3.645949787350713
2,-22.23849906897702,-0.1427160357694462,-10.638716843581715,9.08591571516178,5.1522853104480895,-2.462474862181102,-3.654537736843233
2,-22.460884059666792,-0.1427160357694462,-10.638716843581715,9.08591571516178,5.1522853104480895,-2.462474862181102,-3.656649195546717
8,-2.277931702549391,-0.0215288282579405,17.125348890230377,19.844861884333664,14.252178192727106,1.2795869352917884,-4.327431052901458
8,-2.277931702549391,-0.0215288282579405,17.125348890230377,19.844861884333664,14.252178192727106,1.266917757714642,-4.327431052901458
8,-2.277931702549391,-0.0215288282579405,17.125348890230377,19.844861884333664,14.11106751755159,1.266917757714642,-4.327431052901458
7,-2.255377923316229,-0.0213156715425154,16.955790980426116,19.648378103300654,14.11106751755159,1.266917757714642,-4.327888419121047
8,-2.277931702549391,-0.0213156715425154,16.955790980426116,19.648378103300654,14.11106751755159,1.266917757714642,-4.327974657719006
8,-2.277931702549391,-0.0215288282579405,16.955790980426116,19.648378103300654,14.11106751755159,1.266917757714642,-4.328014884309086
8,-2.277931702549391,-0.0215288282579405,17.125348890230377,19.648378103300654,14.11106751755159,1.266917757714642,-4.328078301409622
9,-1.4677606332545308,0.4414332374363633,6.2087246786685375,0.0208452960092477,0.4024627392316409,-16.025427651569,-4.59803298035967
8,-1.4677606332545308,0.437062611323132,6.2087246786685375,0.0208452960092477,0.4024627392316409,-16.025427651569,-4.59803298035967
9,-1.4677606332545308,0.4414332374363633,6.270811925455223,0.0208452960092477,0.4024627392316409,-16.025427651569,-4.598375217859156
9,-1.4677606332545308,0.4414332374363633,6.270811925455223,0.0210537489693402,0.4024627392316409,-16.025427651569,-4.598375217859156
9,-1.4677606332545308,0.4414332374363633,6.270811925455223,0.0210537489693402,0.4064873666239573,-16.18568192808469,-4.598375217859156
9,-1.4677606332545308,0.4414332374363633,6.270811925455223,0.0210537489693402,0.4064873666239573,-16.025427651569,-4.598375217859156
8,-1.4532283497569611,0.437062611323132,6.2087246786685375,0.0208452960092477,0.4024627392316409,-16.025427651569,-4.599176134706655
