date,flow_cms,source
2015-07-10,447.2616566695894,RODA NWM v3.0 (cached)
2015-07-11,385.94290804017027,RODA NWM v3.0 (cached)
2015-07-12,379.79999151080847,RODA NWM v3.0 (cached)
2015-07-13,586.1220702324839,RODA NWM v3.0 (cached)
2015-07-14,566.4983206711089,RODA NWM v3.0 (cached)
2015-07-15,553.7529042893244,RODA NWM v3.0 (cached)
2015-07-16,506.8012386721093,RODA NWM v3.0 (cached)
2015-07-17,519.2241550611021,RODA NWM v3.0 (cached)
2015-07-18,724.2562338116113,RODA NWM v3.0 (cached)
2015-07-19,697.6433177397897,RODA NWM v3.0 (cached)
2015-07-20,651.4762354383711,RODA NWM v3.0 (cached)
2015-07-21,659.6162352564279,RODA NWM v3.0 (cached)
2015-07-22,694.8254011361083,RODA NWM v3.0 (cached)
2015-07-23,733.4554002726605,RODA NWM v3.0 (cached)
2015-07-24,693.5858178304819,RODA NWM v3.0 (cached)
2015-07-25,618.7416528367127,RODA NWM v3.0 (cached)
2015-07-26,528.6849881829694,RODA NWM v3.0 (cached)
2015-07-27,445.06040671879117,RODA NWM v3.0 (cached)
2015-07-28,374.3454082993946,RODA NWM v3.0 (cached)
2015-07-29,320.1462428441737,RODA NWM v3.0 (cached)
2015-07-30,282.8829103437408,RODA NWM v3.0 (cached)
2015-07-31,255.4899942893535,RODA NWM v3.0 (cached)
2015-08-01,227.32124491897412,RODA NWM v3.0 (cached)
2015-08-02,206.76624537841417,RODA NWM v3.0 (cached)
2015-08-03,188.18082912716395,RODA NWM v3.0 (cached)
2015-08-04,178.73832933822027,RODA NWM v3.0 (cached)
2015-08-05,160.12957975415824,RODA NWM v3.0 (cached)
2015-08-06,146.1879133991121,RODA NWM v3.0 (cached)
2015-08-07,134.63999699056149,RODA NWM v3.0 (cached)
2015-08-08,124.43374721868895,RODA NWM v3.0 (cached)
2015-08-09,116.63124739308842,RODA NWM v3.0 (cached)
2015-08-10,112.58458081687179,RODA NWM v3.0 (cached)
2015-08-11,111.06041418427291,RODA NWM v3.0 (cached)
2015-08-12,108.07249758439139,RODA NWM v3.0 (cached)
2015-08-13,102.09833105125774,RODA NWM v3.0 (cached)
2015-08-14,96.93666449996333,RODA NWM v3.0 (cached)
2015-08-15,92.22624793858267,RODA NWM v3.0 (cached)
2015-08-16,92.20583127237235,RODA NWM v3.0 (cached)
2015-08-17,87.75791470512438,RODA NWM v3.0 (cached)
2015-08-18,83.62291479754883,RODA NWM v3.0 (cached)
2015-08-19,77.88416492581989,RODA NWM v3.0 (cached)
2015-08-20,74.47124833543785,RODA NWM v3.0 (cached)
2015-08-21,72.70208170831513,RODA NWM v3.0 (cached)
